Condition,message_id,user id,nickname,create_time,comment_text,up_count,down_count,reply_count,Default condition,Signal I- condition1 (Strict),Signal I- condition2 (Loose),Signal II- condition1 (Strict),Signal II- condition2 (Loose)
All against,2102,4EPU2PW4JKDZGTAPF4TL32AHUA,judipatt57,1/8/18 21:36,And the black Booker's obsession to have it on the streets of America says a lot about him. I am curious if he was one of those tokers that made it through college on the tax payers dime like Obama did with no thought about the morals and decency of this country.,0,3,2,,FLAGED by bot,FLAGED by bot,Malicious Score Given by bot: 84,Malicious Score Given by bot: 84
All against,2103,VFHZX5TJ6SSB4NJLR2TJBYSUJ4,Joe,1/10/18 21:38,"It appears that Booger is worried that his high octane weed, will no longer be available.",1,2,1,,FLAGED by bot,,Malicious Score Given by bot: 81,
All against,2104,LJE7CLO6DIAAVG2OPYH52ALBA4,GuvGeek,1/13/18 18:12,"Cory, Sessions may be on the wrong side of History, but you're on the wrong side  of  the Law.   So Cory, if you want to smoke dope, get off your Black Butt and change the law.",1,1,0,,FLAGED by bot,FLAGED by bot,Malicious Score Given by bot: 83,Malicious Score Given by bot: 83
All against,2105,R766HTJ6PVF4WB24ZIKYLQB4ME,tax cuts,1/7/18 12:29,"corey booker is a racist America hating fool, like all democrats are",1,1,0,,FLAGED by bot,,Malicious Score Given by bot: 79,
All against,2106,AZPJLZXC37FRBB6YAIYSLRUTZ4,Melle,1/19/18 20:22,"Dear Cory; Civics 101....the Attorney General is supposed to uphold the laws, not create new ones....that's YOUR job.  What have you been doing all this time in Washington, DC?",1,0,0,,FLAGED by bot,FLAGED by bot,Malicious Score Given by bot: 86,Malicious Score Given by bot: 86
All against,2107,F3PJEC6QPKY5XP74DG476USDNA,Oly,1/7/18 21:31,"Sessions is a dinosaur who should have retired years ago.  This is not the 1940s or 50s.  He cannot change the law by himself.  Does anything good or useful to our country ever come out of the mouths of Trump, Sessions, Ryan, or McConnell?",1,0,0,,FLAGED by bot,FLAGED by bot,Malicious Score Given by bot: 83,Malicious Score Given by bot: 83
All against,2108,G4MDEWF3QNHZOIVSBEZA65IMEM,Just Me,1/7/18 22:50,"The article heading 
""Cory Booker says Jeff Sessions's 'obsession with marijuana' puts him 'on the wrong side of history'"".

Should read 
Cory Booker's 'marijuana stance' puts him 'on what is left of marijuana history issue'.",0,0,0,,FLAGED by bot,,Malicious Score Given by bot: 65,
All against,2001,VIHVLRWYFN7XH6D2QEXXZHNHBI,dlanger,1/7/18 18:40,"Obey the law on drugs, these states that legalize pot have yet to see the social problems so associated!  This nation has enough social problems without adding to it with liberal pot laws, wake-up!",1,3,3,,,,,
All against,2002,NZ5AKCHOTCMNJJU4WZFZ7WELQ4,RadioHead,1/17/18 21:44,I love these liberals that totally lose it.  Reasonable Americans recognize their lunacy.,9,2,0,,,,,
All against,2003,WD6RO7PXZO5MUMMFRU5V443JCU,Annette,1/7/18 15:24,Sounds like Cory Booker is on the wrong side of the LAW.,3,2,0,,,,,
All against,2004,PWVKSQTS4IVX5NDSY7DOL7FY2Q,sweetexas1947,1/10/18 13:37,"The wealthy will love it, when they have a nation full working slaves who are willing to do anything to get their drugs.   Just like the Reverse Mortgage industry, once No one owns property except a few investors and the wealthy, everyone will owe the landlords.

This is history repeating itself.   Peasants, surfs, landlords, etc!",2,2,2,,,,,
All against,2005,YRYY3QCWJSO6MAZMQAKMVKBZPE,2018sga63,1/7/18 21:13,The democrat party...party of the reprobate minds...obsessed with sex and drugs.,1,2,1,,,,,
All against,2006,CU5ZNELKZG2IRPLUU5PR2ULAF4,Darrel,1/7/18 19:50,HOW DID THIS CORY BOOKER GET TO WHERE HE'S AT??? HE DOESN'T EVEN KNOW THE FEDERAL  LAW ON ON POT!!! CORY CHANGE THE FEDERAL LAW AND ALLS GOOD! QUIT MAKING STATEMENTS  JUST TO SEE YOUR LIPS MOVE WITHOUT TRYING TO CHANGE EXISTING LAWS!!!  POSTUS,3,1,0,,FLAGED by bot,,Malicious Score Given by bot: 61,
All against,2007,KB6Q4PJP32RDQYXRWMJLJ3XFCU,Billy Bob,1/12/18 00:00,"Pot laws keep non-violent people in private prisons. 
Who wants a violent criminal in his private prison? Not lawmakers that have stakes in them, follow the money, they always say",0,1,0,,,,,
All against,2008,TZ4MK4W4VCIDAJ4Y54BHILQ66M,A Ashtar,1/9/18 17:11,"Dear Democratic Senator Booker:  What some people want isn't necessarily good for them.  I don't disagree that our pot laws have been very restrictive.  However, states which have ""opened up"" are experiencing traffic deaths specifically attributed to usage, medical issues, etc., and it seems to me that YOU and fellow Senators should be working to create some NEW FEDERAL LAWS instead of laying this off on individual states like Obama did.  Do some SENATE WORK and pass a Federal Law and the Attorney General will work from there.",0,1,0,,,,,
All against,2009,NYJEWYTIDKLNKYFA3RTVMIYO3A,Rokossovsky,1/7/18 08:49,Cory just wants to get high and blame all his problems on racism.,0,1,0,,,,,
All against,2010,HFOQBHRDXCB74KDDCDSGK2H2I4,HC,1/10/18 00:07,"If by ""history"" he means the Baby Boom coming of age.",2,0,0,,,,,
All against,2011,32AR36HBU2NOYSO5GXBRI6BXUM,old school,1/7/18 11:55,"How to motivate millenials for the midterms:
1.  mess with their internet access
2. mess with their weed.",2,0,0,,,,,
All against,2012,DUZTDOQOXJ3TYA354YLMZ23RDM,I can grab YOU by the puxxy,1/8/18 17:33,"A republican who is against state's rights, saving states billions in wasted law enforcement , and increasing revenue by billions should be collecting unemployment.",1,0,1,,,,,
All against,2013,TPBYM56EYEATTAVSGWWRU4F7JQ,RonaldH,1/8/18 16:25,"Booker is a self promoter, trying to position himself for a presidential run. Enough of him. Sessions is wrong on pot, let's face it Jeff people smoke it legal or not and don't give me the gateway drug thing, leave it alone and congress legalize it.",0,0,0,,,,,
All neutral,3101,IHMZ5XPUU4Q2ZZ5FCJ7KE6XQ3A,R,1/9/18 06:07,When will these elected people ever understand there is no wrong side of history there is only history.,1,1,1,,FLAGED by bot,FLAGED by bot,Malicious Score Given by bot: 67,Malicious Score Given by bot: 78
